,Title,Score
490,Shen Yin Wangzuo,8.11
491,Diamond no Ace,8.11
492,Fullmetal Alchemist,8.11
493,Golden Kamuy 4th Season,8.11
494,Akatsuki no Yona OVA,8.1
495,Chuunibyou demo Koi ga Shitai! Movie: Take On Me,8.1
496,Detroit Metal City,8.1
497,Durarara!!,8.1
498,Gintama°: Umai-mono wa Atomawashi ni Suru to Yokodorisareru kara Yappari Saki ni Kue,8.1
499,Gridman Universe,8.1
500,Initial D Fifth Stage,8.1
501,Jigokuraku,8.1
502,Stand By Me Doraemon,8.1
503,Tamayura: Sotsugyou Shashin Part 4 - Ashita,8.1
504,Toki wo Kakeru Shoujo,8.1
505,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,8.1
506,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,8.1
507,Kono Subarashii Sekai ni Shukufuku wo!,8.1
508,Koukaku Kidoutai: Stand Alone Complex - Solid State Society,8.1
509,Kuroko no Basket: Saikou no Present desu,8.1
510,Mahoutsukai no Yome: Hoshi Matsu Hito,8.1
511,Precure All Stars Movie F,8.1
512,Saint Seiya: The Lost Canvas - Meiou Shinwa 2,8.1
513,Kidou Senshi Gundam Unicorn,8.09
514,Serial Experiments Lain,8.09
515,Gin no Saji,8.09
516,Hajime no Ippo: Boxer no Kobushi,8.09
517,Hidamari Sketch: Sae Hiro Sotsugyou-hen,8.09
518,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,8.09
519,Tsubasa: Shunraiki,8.09
520,Tsukimonogatari,8.09
521,Tsurune: Tsunagari no Issha,8.09
522,Zankyou no Terror,8.09
523,Uchouten Kazoku 2,8.08
524,Yuanshen: Jinzhong Ge,8.08
525,Yuusha-Ou GaoGaiGar Final,8.08
526,Kuroko no Basket Movie 4: Last Game,8.08
527,Mirai Shounen Conan,8.08
528,Overlord IV,8.08
529,Quanzhi Gaoshou: Dianfeng Rongyao,8.08
530,"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su",8.08
531,Ansatsu Kyoushitsu,8.08
532,Baccano! Specials,8.08
533,Boku no Hero Academia 2nd Season,8.08
534,Fumetsu no Anata e Season 2,8.08
535,Ginga Eiyuu Densetsu: Arata naru Tatakai no Overture,8.08
536,Gintama: Nanigoto mo Saisho ga Kanjin nanode Tashou Senobisuru Kurai ga Choudoyoi,8.08
537,City Hunter 2,8.07
